req_id,req_date,req_time,lab_name,parts_inrepair,quantity,status,allotted,pending
28,2017-02-26,08:27:20,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","5,5,1,0,0,0,0",pending,"0,0,0,0,0,0,0","5,5,1,0,0,0,0"
29,2017-02-26,08:30:29,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","0,0,2,0,0,0,0",pending,"0,0,0,0,0,0,0","0,0,2,0,0,0,0"
30,2017-02-26,08:31:39,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","2,0,2,0,0,0,0",pending,"0,0,0,0,0,0,0","2,0,2,0,0,0,0"
31,2017-02-26,08:32:18,FS6,"motherboard,memory","2,2",pending,"0,0","2,2"
33,2017-02-26,08:47:26,FS6,"motherboard,processor,memory,HDD","7,3,4,2",pending,"0,0,0,0","7,3,4,2"
35,2017-02-26,08:50:59,FS6,"motherboard,memory,HDD","1,1,1",pending,"0,0,0","1,1,1"
36,2017-02-26,08:53:23,FS6,"motherboard,processor,memory","1,1,1",pending,"0,0,0","1,1,1"
37,2017-02-26,08:54:54,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","2,2,2,1,1,2,1","pending
","0,0,0,0,0,0,0","2,2,2,1,1,2,1"
38,2017-02-27,06:53:39,FS7,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","1,1,1,2,2,2,1",incomplete,"1,0,0,0,0,0,0","0,1,1,2,2,2,1"
39,2017-02-27,07:53:22,FS6,"memory,HDD,Monitor,Keyboard,Mouse","1,2,1,1,1",pending,"0,0,0,0,0","1,2,1,1,1"
40,2017-02-27,07:53:35,FS7,"motherboard,Keyboard,Mouse","1,1,1",incomplete,"1,0,1","0,1,0"
41,2017-02-27,07:57:32,FS6,motherboard,1,active,1,0
42,2017-02-27,12:28:16,FS6,memory,1,active,1,0
43,2017-03-01,22:44:51,FS6,"motherboard,processor,memory,Keyboard,Mouse","15,4,3,12,5",pending,"0,0,0,0,0","15,4,3,12,5"
47,2017-03-02,19:30:09,FS6,"motherboard,Keyboard,Mouse","3,4,2",pending,"0,0,0","3,4,2"
48,2017-03-02,23:20:14,FS6,"motherboard,memory,HDD","1,1,1",closed,"1,1,1","0,0,0"
53,2017-03-10,13:28:22,FS7,"motherboard,processor,Monitor","1,1,1",pending,"0,0,0","1,1,1"
